model,avg_RMSE,avg_MAPE,avg_MAE
ets,22.526166657447607,4.628409454296836,18.337742113689565
seasonal_naive,40.726756737472726,9.684923732448256,38.43333333333334
xgb_lag,50.79661942430133,10.025162938869277,41.51778767903646
arima,58.05709166954057,9.581501450746764,41.61760794851664
naive,88.81600456665376,15.113627045420774,66.93333333333332
